,source,target,weight,type,count
2,leuprolide,pelvic pain,147.20332398014244,1,14.0
485,ibuprofen,menorrhagia,147.20332398014244,1,48.0
451,gabapentin,prostate cancer,147.20332398014244,1,18.0
241,lenalidomide,prostate cancer,147.20332398014244,1,52.0
519,atorvastatin,prostate cancer,147.20332398014244,1,28.0
582,rivaroxaban,menorrhagia,147.20332398014244,1,38.0
583,rivaroxaban,vaginal haemorrhage,147.20332398014244,1,68.0
612,denosumab,prostatic specific antigen increased,147.20332398014244,1,18.0
613,denosumab,prostate cancer,147.20332398014244,1,14.0
490,ibuprofen,uterine perforation,147.20332398014244,1,125.0
205,levothyroxine,vaginal haemorrhage,147.20332398014244,1,73.0
206,levothyroxine,prostate cancer,147.20332398014244,1,21.0
122,acetaminophen,uterine perforation,147.20332398014244,1,118.0
392,lisinopril,breast cancer,147.20332398014244,1,25.0
177,amlodipine,prostate cancer,147.20332398014244,1,30.0
153,omeprazole,prostate cancer,147.20332398014244,1,26.0
162,levonorgestrel,uterine perforation,147.20332398014244,1,1259.0
163,levonorgestrel,emotional distress,147.20332398014244,1,596.0
123,acetaminophen,vaginal haemorrhage,147.20332398014244,1,59.0
128,acetaminophen,prostate cancer,147.20332398014244,1,33.0
113,acetaminophen,prostatic specific antigen increased,147.20332398014244,1,24.0
93,acetaminophen,breast cancer,147.20332398014244,1,56.0
403,lisinopril,vaginal haemorrhage,147.20332398014244,1,26.0
406,risperidone,gynaecomastia,147.20332398014244,1,36.0
164,levonorgestrel,genital haemorrhage,147.20332398014244,1,530.0
280,prednisone,prostatic specific antigen increased,147.20332398014244,1,30.0
283,prednisone,prostate cancer,147.20332398014244,1,22.0
288,trazodone,priapism,147.20332398014244,1,67.0
104,acetaminophen,menorrhagia,147.20332398014244,1,49.0
84,acetaminophen,abortion spontaneous,147.20332398014244,1,43.0
178,digoxin,serotonin syndrome,147.20332398014244,1,20.0
466,hydrochlorothiazide,prostate cancer,147.20332398014244,1,17.0
41,cholecalciferol,prostatic specific antigen increased,147.20332398014244,1,18.0
44,cholecalciferol,prostate cancer,147.20332398014244,1,17.0
53,sildenafil,erectile dysfunction,147.20332398014244,1,18.0
558,dexamethasone,prostate cancer,147.20332398014244,1,31.0
569,calcium,prostatic specific antigen increased,147.20332398014244,1,14.0
415,naproxen,gastric haemorrhage,123.29004329004329,1,64.0
618,copper,cough,58.520440251572325,1,7.0
384,tizanidine,serotonin syndrome,50.78895463510848,1,25.0
225,lenalidomide,hiccups,48.50428919523348,1,45.0
292,verapamil,rhabdomyolysis,48.27021494370522,1,20.0
441,ezetimibe,rhabdomyolysis,41.00674820750738,1,27.0
407,clopidogrel,gastric haemorrhage,40.75597863942419,1,96.0
620,copper,pyrexia,38.30048076923077,1,9.0
550,dexamethasone,hiccups,34.741937987504365,1,35.0
219,lenalidomide,breast cancer,32.553320106640214,1,35.0
433,ondansetron,emotional distress,30.87384419570996,1,53.0
626,dabigatran,gastric haemorrhage,29.932248130224373,1,73.0
488,ibuprofen,pelvic pain,27.563739734680983,1,58.0
314,warfarin,gastric haemorrhage,27.46583981561509,1,337.0
477,ibuprofen,gastric haemorrhage,26.39362101313321,1,62.0
419,meloxicam,gastric haemorrhage,24.51047120418848,1,21.0
244,methotrexate,alopecia,23.495281083299137,1,108.0
290,trazodone,serotonin syndrome,21.83690987124464,1,40.0
248,methotrexate,bronchitis,21.086380099774484,1,97.0
596,apixaban,gastric haemorrhage,20.613671824591453,1,185.0
189,methylphenidate,dystonia,20.09597156398104,1,28.0
483,ibuprofen,melaena,19.069627851140456,1,27.0
576,rivaroxaban,gastric haemorrhage,15.580197761922925,1,126.0
491,ibuprofen,emotional distress,13.484464975004746,1,85.0
209,fluoxetine,aggression,13.453776435045317,1,24.0
486,ibuprofen,metabolic acidosis,13.238431790905452,1,25.0
592,apixaban,alopecia,11.922776664205085,1,51.0
294,verapamil,acute kidney injury,11.612744090441932,1,24.0
561,lisdexamfetamine,aggression,10.488960441582336,1,33.0
417,fentanyl,serotonin syndrome,10.483509879047404,1,44.0
324,warfarin,haemorrhage intracranial,10.338735284426203,1,122.0
614,tofacitinib,urinary tract infection,9.427721706365226,1,307.0
522,heparin,hereditary angioedema,9.15939393939394,1,56.0
211,fluoxetine,serotonin syndrome,8.99030303030303,1,32.0
559,docetaxel,neutrophil count decreased,8.931812044288415,1,29.0
411,potassium chloride,ventricular tachycardia,8.850669778770042,1,27.0
495,amoxicillin,angioedema,8.802558398220246,1,34.0
183,spironolactone,hyperkalaemia,8.69968066670561,1,134.0
458,hydrochlorothiazide,angioedema,8.363599146391948,1,272.0
443,gabapentin,alopecia,8.189680280392286,1,121.0
572,hydroxychloroquine,electrocardiogram qt prolonged,8.149991823385118,1,34.0
298,losartan,alopecia,8.102094620042298,1,90.0
320,warfarin,haematuria,7.602931750987243,1,104.0
348,warfarin,haemorrhage,7.602372530880992,1,396.0
390,lisinopril,angioedema,7.204994459689044,1,1786.0
622,water,hereditary angioedema,7.199124726477024,1,60.0
563,calcium,alopecia,7.086535028401406,1,121.0
124,acetaminophen,emotional distress,6.920760789550271,1,128.0
574,dexlansoprazole,acute kidney injury,6.894011976047905,1,29.0
300,losartan,angioedema,6.788391982518273,1,97.0
135,metformin,bladder cancer,6.773740196857386,1,71.0
421,ondansetron,alopecia,6.578082426435557,1,79.0
29,cholecalciferol,alopecia,6.57177516741684,1,222.0
524,heparin,thrombocytopenia,6.437512507504502,1,116.0
344,warfarin,subarachnoid haemorrhage,6.412644459551325,1,40.0
302,losartan,hyperkalaemia,6.409223144057752,1,48.0
156,diltiazem,bradycardia,6.196255322885113,1,49.0
456,hydrochlorothiazide,alopecia,6.1286782601000045,1,104.0
87,acetaminophen,alopecia,6.011273426150667,1,211.0
346,warfarin,subdural haematoma,5.858567596125252,1,131.0
332,warfarin,melaena,5.767106424490176,1,79.0
19,cyanocobalamin,alopecia,5.4149585786484655,1,111.0
17,bevacizumab,white blood cell count decreased,5.121427407085416,1,163.0
328,warfarin,international normalised ratio abnormal,5.107751699405877,1,108.0
435,metronidazole,sepsis,4.98679638637943,1,39.0
60,metoprolol,alopecia,4.970288382520312,1,128.0
386,lisinopril,alopecia,4.969182290695395,1,91.0
624,sodium chloride,hereditary angioedema,4.884238947013162,1,108.0
590,tocilizumab,aspartate aminotransferase increased,4.84427397260274,1,43.0
0,etanercept,urinary tract infection,4.804268309452436,1,206.0
262,prednisone,alopecia,4.789549557303153,1,108.0
530,carvedilol,bradycardia,4.778724878724879,1,84.0
274,prednisone,hyperkalaemia,4.749757984486704,1,44.0
511,atorvastatin,rhabdomyolysis,4.70975054749521,1,115.0
538,enoxaparin,haemorrhage,4.5204934806759045,1,86.0
260,methotrexate,urinary tract infection,4.5044819078947365,1,138.0
165,amlodipine,alopecia,4.495803933857031,1,127.0
479,ibuprofen,gastrointestinal haemorrhage,4.476796478805856,1,59.0
7,human immunoglobulin g,urinary tract infection,4.469656008203598,1,183.0
600,apixaban,haematuria,4.418581645300762,1,80.0
143,omeprazole,alopecia,4.399139985493731,1,127.0
505,atorvastatin,alopecia,4.379582254064481,1,88.0
471,sulfamethoxazole,hyperkalaemia,4.37568771057381,1,138.0
9,adalimumab,urinary tract infection,4.200887467519489,1,228.0
